node,degree,strength,betweenness,eigenvector,cf_closeness,Kbar,delta_conn_pairs,delta_eff,delta_aspl
L0,6.0,5.9999999939999995,0.22727272727272727,0.32131027528782485,0.1621621619999994,0.6287878794166644,0.0,0.02626262626262632,0.1333333333333333
L1,6.0,5.9999999939999995,0.22727272727272727,0.32131027528782435,0.1621621619999993,0.6287878794166644,0.0,0.02626262626262632,0.1333333333333333
L2,5.0,4.999999995,0.0,0.27088716008188896,0.13714285700571374,0.6287878794166644,0.0,-0.007070707070707116,-0.030303030303030276
L3,5.0,4.999999995,0.0,0.27088716008188873,0.13714285700571377,0.6287878794166644,0.0,-0.007070707070707116,-0.030303030303030276
L4,5.0,4.999999995,0.0,0.2708871600818889,0.13714285700571377,0.6287878794166644,0.0,-0.007070707070707116,-0.030303030303030276
L5,5.0,4.999999995,0.0,0.2708871600818888,0.13714285700571374,0.6287878794166644,0.0,-0.007070707070707338,-0.030303030303030276
R0,6.0,5.9999999939999995,0.22727272727272727,0.3213102752878253,0.16216216200000158,0.6287878794166644,0.0,0.02626262626262632,0.1333333333333333
R1,6.0,5.9999999939999995,0.22727272727272727,0.32131027528782513,0.16216216200000155,0.6287878794166644,0.0,0.02626262626262632,0.1333333333333333
R2,5.0,4.999999995,0.0,0.2708871600818897,0.1371428570057159,0.6287878794166644,0.0,-0.007070707070707005,-0.030303030303030276
R3,5.0,4.999999995,0.0,0.27088716008188984,0.1371428570057159,0.6287878794166644,0.0,-0.007070707070707116,-0.030303030303030276
R4,5.0,4.999999995,0.0,0.2708871600818898,0.1371428570057159,0.6287878794166644,0.0,-0.007070707070707227,-0.030303030303030276
R5,5.0,4.999999995,0.0,0.2708871600818897,0.1371428570057159,0.6287878794166644,0.0,-0.007070707070707005,-0.030303030303030276
